time,x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,,,,,,
11.662538,125.2208665,408.4966257,119.1354382,403.8380046,155.6440183,487.7967686,184.2856274,500.5425052,,7.663888579,31.34957054,84.9357453,,1340.878796
11.700088,129.7313693,410.0730332,174.0394919,413.1219221,108.6395952,469.0843112,183.0292437,502.8630001,,44.41289736,81.69956932,62.66732694,,-2251.331028
11.724574,154.2101623,415.7009971,166.7005677,416.4948626,156.3060668,502.0268042,178.2921176,516.952061,,12.51560823,26.57347776,86.35124659,,-4.811628764
11.763078,155.9336621,420.9305463,139.271948,418.2667726,155.9291973,504.9069796,179.7102611,516.3437044,,16.87330457,26.38821081,83.97643342,,-684.5975069
11.797275,168.5312044,413.957358,173.9900368,414.5247522,179.1364832,516.3760412,182.005335,517.1712746,,5.488240825,2.977029864,102.9662984,,201.2997
11.840346,151.6274775,407.3276006,185.7771842,412.7167817,177.6095498,513.1143224,189.219852,512.187842,,34.57232623,11.64720924,108.9307055,,0
11.876501,151.6274775,407.3276006,185.7771842,412.7167817,177.6095498,513.1143224,189.219852,512.187842,,34.57232623,11.64720924,108.9307055,,1660.975122
11.903263,126.5530954,407.4392783,180.6657344,410.6068367,137.1547263,492.6475103,190.1186314,511.1363084,,54.20526843,56.09822545,85.86522799,,-1535.904734
11.938681,208.2445814,424.5380897,202.3271446,416.7282496,189.1493647,505.9516735,187.577175,505.3061542,,9.798451953,1.699551594,83.62295694,,128.4934772
11.970284,194.6463096,423.1751961,220.8478994,417.474389,191.6437029,508.3204265,186.1687591,510.1110697,,26.81459509,5.760330953,85.19815671,,-132.2695075
12.007828,197.0596349,419.8722109,211.3684415,418.7691893,195.7527891,512.0643087,195.6794899,512.8553244,,14.35125789,0.794404563,92.20135977,,233.9337857
12.029504,191.9047529,422.6393786,219.9301207,421.457358,194.3108965,513.0319416,200.0500821,511.822904,,28.05028365,5.865153303,90.42458168,,42.99985432
12.066997,194.9845726,419.4888816,218.3278742,421.5757615,191.457662,514.0476806,198.6103934,511.8684263,,23.43639898,7.477346841,94.62455055,,166.4855515
12.089529,194.8818245,422.7795173,219.4769121,422.9346273,207.9189339,510.5951711,196.691657,510.7674945,,24.5955767,11.22859929,88.77812385,,-256.6753657
12.126931,191.8603706,421.8867415,219.8822805,423.2439354,200.5349055,510.9724587,202.1168607,510.5862035,,28.05475735,1.628427258,89.50705316,,287.8677395
12.166929,182.96837,429.192189,215.8569051,425.4772997,189.0573702,512.4503359,202.0496033,514.4324538,,33.0976758,13.1425611,83.4805064,,0
12.205365,182.96837,429.192189,215.8569051,425.4772997,189.0573702,512.4503359,202.0496033,514.4324538,,33.0976758,13.1425611,83.4805064,,-29.68837091
12.241414,176.0304254,416.3628177,211.745045,418.9225894,192.0987734,501.2800948,199.5516172,510.7772602,,35.80623527,12.07232502,86.42416189,,-320.0716455
12.267287,184.7968598,416.3236792,217.1776584,420.0698413,189.7457138,500.7992613,191.6095422,497.4979481,,32.59677666,3.791111334,84.62041791,,211.3109328
12.326553,185.9458217,420.104686,216.3196893,415.4545005,200.1868388,499.166654,184.141157,496.2163333,,30.7277734,16.31466508,80.33430993,,-123.3700436
12.375721,174.0189157,421.2729511,164.2020496,420.4359573,180.7660126,516.744019,170.5439301,516.0043774,,9.852482867,10.24880678,95.70918515,,0
12.401534,174.0189157,421.2729511,164.2020496,420.4359573,180.7660126,516.744019,170.5439301,516.0043774,,9.852482867,10.24880678,95.70918515,,239.3486348
12.437809,172.4456431,417.4513619,163.2079318,416.8110865,162.0783112,507.9552605,179.1276675,516.1838065,,9.259873792,18.9311785,91.09575859,,-432.0908628
12.463662,155.6152154,412.3071954,168.6667452,417.1755305,157.8414549,501.6300234,163.6684171,506.7553806,,13.92993599,7.760333428,89.35056656,,596.9882152
12.501135,138.307545,412.6447364,164.5115288,416.1854025,150.9390199,501.0890382,179.4582928,510.8124468,,26.44210815,30.13127282,89.34175216,,-483.6085918
